username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MugagaTakunda;2019-01-04 18:09;1;5;"Medieval banking is when you choose to set a forex allocation committee , worse still comprising bureaucrats who are there to even empower RBZ more , my foot ... @archiedongo @kudzie_sharara @FingazLive @DailyNewsZim @CBZHoldings";;@archiedongo @kudzie_sharara @FingazLive @DailyNewsZim @CBZHoldings;;"1081221003232055296";https://twitter.com/MugagaTakunda/status/1081221003232055296
GlenDhliwayo;2019-01-04 18:07;0;0;"@CBZHoldings kindly address your system challenges I am failing to transact yet you have our money and reflecting wrong balance. This inconvenience should not last long.";;@CBZHoldings;;"1081220562343657478";https://twitter.com/GlenDhliwayo/status/1081220562343657478
RudorwasheMuny2;2019-01-04 17:59;0;1;"For you to stay alive on the road";;;;"1081218592262291456";https://twitter.com/RudorwasheMuny2/status/1081218592262291456
Ndi_Ash;2019-01-04 17:02;0;1;"@CBZHoldings please assist https:// twitter.com/MugabeRumbidza i/status/1081189675635744768 …";;@CBZHoldings;;"1081204256580030470";https://twitter.com/Ndi_Ash/status/1081204256580030470
khatsomsimango;2019-01-04 16:51;0;0;"@CBZHoldings";;@CBZHoldings;;"1081201531519672320";https://twitter.com/khatsomsimango/status/1081201531519672320
tkbembz;2019-01-04 16:24;0;1;"It helps reduce road carnage by equipping the driver with necessary information and behaviour change of drivers";;;;"1081194739909775361";https://twitter.com/tkbembz/status/1081194739909775361
PeterAlwyn007;2019-01-04 15:49;0;0;"Sorry mkoma. Chirungu chaksuya neBoat ichi. Handichigone!";;;;"1081185927446360071";https://twitter.com/PeterAlwyn007/status/1081185927446360071
ChifChiduku;2019-01-04 15:49;1;1;"DD teks a driver into depths of driving. Driving to stay alive & safety are emphasised. As for me DD will act as refresher.";;;;"1081185827173076992";https://twitter.com/ChifChiduku/status/1081185827173076992
ntandolncube1;2019-01-04 15:49;0;0;"@CBZHoldings @263Chat @ZiFMStereo";;@CBZHoldings @263Chat @ZiFMStereo;;"1081185764745060352";https://twitter.com/ntandolncube1/status/1081185764745060352
CBZHoldings;2019-01-04 15:41;0;2;"Thank y'all for participating in this Predict & Win. It was a tough one but congrats to the following randomly selected WINNERS, please DM us to collect your prizes: @RomzTheFirst @TheGSeal";;@RomzTheFirst @TheGSeal;;"1081183737843462144";https://twitter.com/CBZHoldings/status/1081183737843462144
somekahlist;2019-01-04 15:41;0;1;"Able to avoid the chances of accidents before it happens.Can always drive with caution no matter you have the right of http:// way.Able to take note every road signs and tar marks.Enables drivers to put the safety rules into action.Not account holder yet but wish to be";;;;"1081183730029527041";https://twitter.com/somekahlist/status/1081183730029527041
berube871;2019-01-04 15:33;1;1;"Its an opportunity to learn new skills and promote safe driving so as to provide safe roads to all users. It also helps because i wil share my views, experience and input towards safe roads for drivers and pedestrians as well as bystanders. 1safe driver wil lead to one mil more";;;;"1081181943276937216";https://twitter.com/berube871/status/1081181943276937216
gunundu_terence;2019-01-04 15:12;2;3;"Defensive course will enable you to be alert to certain events that are likely to happen on the road. You drive with more caution and get to drive with an open eye (driving for 3 drivers) yourself, the car in front of you and the car behind you.";;;;"1081176649092263936";https://twitter.com/gunundu_terence/status/1081176649092263936
CBZHoldings;2019-01-04 15:10;11;23;"Care for a FREE defensive drive course? Are you a CBZ Account Holder? If YES, share with us why it’s particularly important to take this course. Participate in this draw to win one of the 5 FREE defensive driving course next Friday courtesy of @CBZHoldings #PartnersForSuccess pic.twitter.com/5Adm0ava3y";;@CBZHoldings;#PartnersForSuccess;"1081176134660878337";https://twitter.com/CBZHoldings/status/1081176134660878337
263Chat;2019-01-04 15:03;0;2;"Isn't it time transacting for your business became this simple Switch your business to electronic transactions for salary and bill payments,transfers and so much more with CBZ today. @CBZHoldings #SwitchTotheBest #PartnersForSuccess pic.twitter.com/Qlm58MtaIf";;@CBZHoldings;#SwitchTotheBest #PartnersForSuccess;"1081174229012398080";https://twitter.com/263Chat/status/1081174229012398080
berube871;2019-01-04 14:22;0;0;"@econet_support i dd a bank to wallet transfer to @CBZHoldings 24hours ago up to nw nothing. Enquired on this platform you hv not responded";;@econet_support @CBZHoldings;;"1081164033561112576";https://twitter.com/berube871/status/1081164033561112576
CBZHoldings;2019-01-04 12:54;0;0;"Hello Alex. May you please DM is the error message you are getting so thatWe can assist you.";;;;"1081141761601425408";https://twitter.com/CBZHoldings/status/1081141761601425408
CBZHoldings;2019-01-04 12:53;0;0;"Hi, how are you? Please DM us your account number and mobile number so that we can assist you.";;;;"1081141506755518464";https://twitter.com/CBZHoldings/status/1081141506755518464
alexmatanga;2019-01-04 12:42;0;0;"My smartcash 263779780931 is refusing to link to my Ecocash 0779780931";;;;"1081138802335334400";https://twitter.com/alexmatanga/status/1081138802335334400
MoB_Capital;2019-01-04 12:19;1;3;"My bank is cleaner than yours, is yours clean? @CBZHoldings @POSBZimbabwe @ZB_Bank @NedbankZimbabwe @AgribankZim @EcobankZimbabwe @ReserveBankZIM #bulawayocleanupcampaign";;@CBZHoldings @POSBZimbabwe @ZB_Bank @NedbankZimbabwe @AgribankZim @EcobankZimbabwe @ReserveBankZIM;#bulawayocleanupcampaign;"1081132926157406211";https://twitter.com/MoB_Capital/status/1081132926157406211
faniedgreat;2019-01-04 12:14;0;0;"Nxaaaa ndakazopotsa mbichana chete mbichana";;;;"1081131710681677824";https://twitter.com/faniedgreat/status/1081131710681677824
SkidoReal_D96;2019-01-04 11:42;0;2;"I also won this 100% right";;;;"1081123802493399041";https://twitter.com/SkidoReal_D96/status/1081123802493399041
KaiyoTrevor;2019-01-04 11:21;0;0;"and i was 100% correct.......";;;;"1081118451089981440";https://twitter.com/KaiyoTrevor/status/1081118451089981440
263Chat;2019-01-04 10:56;3;9;"Come join us at the First Ever @CBZHoldings Harare Marathon on the 27th of January 2019. Be part of it! #RunTheDistance #PartnersInSport #SwitchToTheBest pic.twitter.com/cLP6FlHqHq";;@CBZHoldings;#RunTheDistance #PartnersInSport #SwitchToTheBest;"1081112184489459712";https://twitter.com/263Chat/status/1081112184489459712
Gesture9;2019-01-04 10:54;0;1;"Wakanyanya";;;;"1081111492232167424";https://twitter.com/Gesture9/status/1081111492232167424
PHurungudo;2019-01-04 10:50;0;0;"Dear @CBZHoldings why does it still take 2 weeks to get bank card in this digital age where for most banks all over Southern Africa, it takes them a few minutes...";;@CBZHoldings;;"1081110589542420481";https://twitter.com/PHurungudo/status/1081110589542420481
263Chat;2019-01-04 09:42;3;10;"Convenience is a Touch away! Pay your children's School Fees from the palm of your hand with CBZ Touch. Its quick, easy and saves your time! #SwitchToTheBest #PartnersForSuccess @CBZHoldings pic.twitter.com/KFWoQJfc8V";;@CBZHoldings;#SwitchToTheBest #PartnersForSuccess;"1081093384729706497";https://twitter.com/263Chat/status/1081093384729706497
Tk_Dzivarashe;2019-01-04 08:54;0;0;"Can amateurs register?";;;;"1081081292886806528";https://twitter.com/Tk_Dzivarashe/status/1081081292886806528
RomzTheFirst;2019-01-04 08:03;0;0;"Hanzi total number of goals scored by both teams and the half to have the most goals";;;;"1081068476343685120";https://twitter.com/RomzTheFirst/status/1081068476343685120
CBZHoldings;2019-01-04 07:57;4;12;"Buy ZESA Tokens your way! Stand a chance to win Weekly and Monthly prices from #CBZRewardsAmplified when you use our online platforms. #ParnersForSuccess #SwitchTotheBest @263Chat @ZiFMStereo @NewsDayZimbabwe @StarFM pic.twitter.com/qURfaMiZUS";;@263Chat @ZiFMStereo @NewsDayZimbabwe @StarFM;#CBZRewardsAmplified #ParnersForSuccess #SwitchTotheBest;"1081067067854544896";https://twitter.com/CBZHoldings/status/1081067067854544896
PeterAlwyn007;2019-01-04 07:05;0;1;"At the break it was 1-0";;;;"1081054018242314240";https://twitter.com/PeterAlwyn007/status/1081054018242314240
ChinengunduTT;2019-01-04 06:34;0;1;"@CBZHoldings @263Chat @ZiFMStereo Correct score line https:// twitter.com/ChinengunduTT/ status/1080544282656813057 …";;@CBZHoldings @263Chat @ZiFMStereo;;"1081046299892482049";https://twitter.com/ChinengunduTT/status/1081046299892482049
ChinengunduTT;2019-01-04 06:34;0;1;"Im the only one who won the bet Check my first tweet";;;;"1081046072175325185";https://twitter.com/ChinengunduTT/status/1081046072175325185
tinochax;2019-01-04 06:16;0;0;"My predictions were on point after all @CBZHoldings @ZiFMStereo @263Chat pic.twitter.com/q167zoWUM2";;@CBZHoldings @ZiFMStereo @263Chat;;"1081041660363067392";https://twitter.com/tinochax/status/1081041660363067392
vengi263;2019-01-04 06:05;0;1;"";;;;"1081038818566918144";https://twitter.com/vengi263/status/1081038818566918144
fearnotsinnot;2019-01-04 04:38;0;0;"@CBZHoldings hope you will be fair on this.Patiently waiting for you. https:// twitter.com/fearnotsinnot/ status/1080863976853028864 …";;@CBZHoldings;;"1081016955748917248";https://twitter.com/fearnotsinnot/status/1081016955748917248
Tinomudaishe12;2019-01-04 01:01;0;1;"Where is it going to be........from ? To ?";;;;"1080962459874353153";https://twitter.com/Tinomudaishe12/status/1080962459874353153
